Date,Open,High,Low,Close,Volume
2024-04-15,423.11166681869645,429.19031312360005,423.1020848082483,426.5865478515625,5376800
2024-04-16,456.39580281508853,459.24846665266915,445.7031555529191,448.8525695800781,11816500
2024-04-17,458.14764691839883,467.1459440972546,454.3089997917552,458.5209655761719,8759800
2024-04-18,465.3558379733482,480.54764839898115,465.20267187063524,472.10455322265625,8880400
2024-04-19,475.76132943686594,485.62116019253256,474.3828636905565,479.71484375,6618600
2024-04-22,476.5079355026588,478.077865986482,469.67307048988033,470.23785400390625,4697700
2024-04-23,470.01771674178366,473.18626561125643,464.24540257029514,465.4036865234375,3646700
2024-04-24,463.10623311127677,467.9691324698157,460.1674189165387,466.4757995605469,3724400
2024-04-25,468.0648641971114,475.88574175840444,466.6959805680018,472.7554626464844,4329700
2024-04-26,470.9750367014919,475.9815501491242,470.40067105794634,474.181884765625,2727000
2024-04-29,474.5263664226816,476.09629683646773,466.92567131292975,468.1318359375,2192100
2024-04-30,468.0648941784983,468.7828438610259,461.96711288238214,463.0296936035156,3367500
2024-05-01,458.7794317225408,468.2850785613659,456.68301630071016,463.4221496582031,2729200
2024-05-02,463.5849180506028,472.5927973509059,463.2594510174075,471.903564453125,3561400
2024-05-03,469.8837131401778,471.7312592665805,465.02081328174097,471.4057922363281,2487600
2024-05-06,471.43449585632965,473.72234701516095,470.97499753701334,473.2532958984375,2029500
2024-05-07,474.80403085945153,480.21257899731864,473.88506349561743,479.55206298828125,3752100
2024-05-08,482.6249292339561,485.3339798176805,478.7096846356803,481.7059326171875,3078900
2024-05-09,480.6816544613055,486.2625034462363,480.6816544613055,485.3626708984375,2342900
2024-05-10,487.24850893472757,491.63280460844453,485.3339764831177,490.89569091796875,2784600
2024-05-13,490.1681796486398,492.67621259053175,485.6307468976887,489.8714294433594,2454500
2024-05-14,492.59014208568203,494.1121628858064,485.6212149088821,491.9200439453125,2949700
2024-05-15,492.8293998313208,500.2577952793872,492.8293998313208,495.4331359863281,2981200
2024-05-16,497.77839392784114,505.5896599401086,497.3093428664805,498.994140625,3655800
2024-05-17,500.59275865436484,503.3783774198641,497.78797586942045,502.2105407714844,2657200
2024-05-20,502.21056315712144,502.21056315712144,494.4662540150076,495.12677001953125,2476200
2024-05-21,496.17024356603486,502.2967124340199,493.87278122373147,501.1767272949219,2521900
2024-05-22,500.4778903186989,503.7900521967302,498.400639154458,499.0706787109375,2299100
2024-05-23,496.1702137451819,497.9985664423157,493.21223553926393,494.743896484375,3055400
2024-05-24,494.05464627169573,495.04065850622055,485.8317330891483,486.4539794921875,2527800
2024-05-28,484.9989351758856,484.9989351758856,480.4519205309863,482.1558532714844,2912800
2024-05-29,471.30043675792103,472.79376969080334,453.04536333765634,464.0060729980469,7521600
2024-05-30,461.708672512019,465.26012217975716,457.57327523092204,461.0672912597656,5169700
2024-05-31,461.7948260567717,477.1110864179137,461.7948260567717,474.20098876953125,6694800
2024-06-03,473.0139766850222,477.36952643620737,471.99927679731604,476.1825256347656,2795100
2024-06-04,477.2546409231814,486.54968767372986,473.45429288818167,483.88848876953125,3178400
2024-06-05,486.96134342295676,487.34424407268926,477.48438436475664,481.6197814941406,2464400
2024-06-06,482.1271518066324,483.13229891979375,476.02937033122356,480.4710998535156,2419600
2024-06-07,480.5858930987234,481.37082911822864,469.4624654113926,469.7209167480469,3416300
2024-06-10,470.0177064221314,474.22011908245355,465.4132583154384,473.8467712402344,3332800
2024-06-11,469.8837164565682,476.5080120283988,469.3380968742213,475.0146789550781,4599700
2024-06-12,478.6330846019024,478.6330846019024,466.5906890472344,471.9992370605469,4048200
2024-06-13,469.3284638150411,480.5476246670405,463.68059916861563,476.0484619140625,4951700
2024-06-14,475.5985747952302,476.5750050599828,470.7165403252565,475.8761901855469,3188400
2024-06-17,472.3288832919303,474.0496672054145,469.80061738313896,470.31011962890625,2407200
2024-06-18,471.732865999693,472.6461385821987,460.5141939118241,462.4464416503906,3692700
2024-06-20,461.4755298825957,467.12813866667005,459.6201460396095,465.7822570800781,5258100
2024-06-21,465.70537166634887,469.41608074015926,462.0042559155448,463.9269104003906,6368600
2024-06-24,469.9544167859169,471.9059392317255,465.76304413426664,471.0311279296875,5139800
2024-06-25,471.66556322450054,471.66556322450054,462.01383050043285,465.76300048828125,2916100
2024-06-26,465.76306414788,468.5893686797925,462.85024368181263,465.32086181640625,3153100
2024-06-27,466.2917318749843,470.069769947882,463.4077503662124,467.62799072265625,2991900
2024-06-28,477.1739692488048,489.700061272873,470.4831402679489,489.56549072265625,22734200
2024-07-01,487.1525731473319,489.22904348182476,473.8285918393931,475.5205078125,4523100
2024-07-02,475.1455857343383,479.1927649848065,474.3092357740449,478.9716491699219,3312000
2024-07-03,477.8949876898627,478.81785361582246,467.7049131885184,470.9446105957031,2239200
2024-07-05,470.0890337082249,470.7331358857611,465.7630610053885,469.1373291015625,3499000
2024-07-08,470.27166982013745,474.78029687419263,467.36847214804675,470.4158630371094,3450600
2024-07-09,469.44491954743347,476.2415101947016,467.2915559116175,473.0787353515625,3056800
2024-07-10,471.95399795720607,482.1056112733189,471.16570257875924,481.5576477050781,3189800
2024-07-11,478.45256702854965,489.0560050451055,478.45256702854965,484.85498046875,3535100
2024-07-12,487.31603702636056,494.6701848409291,483.9609848742837,491.74774169921875,3570600
2024-07-15,503.9661768059211,510.3013490576872,493.9299181948836,495.439208984375,5128000
2024-07-16,513.252636159816,528.6530586233936,506.74443197855396,527.6436767578125,11062000
2024-07-17,532.5752047884403,551.4268148326762,529.9796099254602,551.109619140625,10330800
2024-07-18,542.6692894889081,559.0118544513731,539.7083848197157,542.5155029296875,6834800
2024-07-19,545.1879177798318,547.8604357597648,539.8236951733635,543.4671630859375,4290400
2024-07-22,541.2752738363048,542.4288782232152,535.536178556692,536.9301147460938,3377300
2024-07-23,537.1800870062477,537.2282003134005,531.4313682481929,533.248291015625,2785600
2024-07-24,538.3432370757034,539.429541515926,531.6331919323604,538.1029052734375,3156200
2024-07-25,540.2659308597562,547.8508171738757,536.9782079941334,538.03564453125,3102900
2024-07-26,538.3432444581764,556.7334389137371,538.3432444581764,547.6873168945312,3201900
2024-07-29,543.8325160699475,549.2543577289181,540.0352613040409,544.832275390625,2965000
2024-07-30,544.9763791227084,557.0217776757457,544.1015385674684,554.0416870117188,4139100
2024-07-31,543.5728357942912,558.4349749228182,540.5734997264656,553.8782348632812,4713200
2024-08-01,554.8780571096335,564.7797152765523,545.1686174378988,550.619384765625,3680800
2024-08-02,559.8096388766797,568.6634241104482,553.0034264301477,567.0195922851562,5094000
2024-08-05,559.6078041562024,564.126053886062,544.8418319398917,547.9180908203125,4587400
2024-08-06,546.2357590754086,555.1857131183758,540.7754275240102,546.3703002929688,3216500
2024-08-07,544.6976443420093,549.5427714589134,535.4881711050516,544.1881713867188,4320700
2024-08-08,542.5442417270593,550.3117821404024,542.5442417270593,544.3419189453125,2860800
2024-08-09,542.7076246673929,544.0438835285322,536.0648796754654,537.1511840820312,2976700
2024-08-12,540.5735361869355,546.9951950562914,539.3526318262651,543.4286499023438,2532400
2024-08-13,547.9468304823339,553.4648387102188,546.9951260306273,552.032470703125,2369400
2024-08-14,552.9938301327544,558.6464385684457,551.1000437777296,557.2525024414062,2344400
2024-08-15,557.2525625431542,560.7806758722317,551.3308123729042,557.1948852539062,2751800
2024-08-16,558.4542295875054,559.1560384039082,551.8979704673629,555.3395385742188,2728900
2024-08-19,555.7240928575404,560.7421931169829,554.7531429125746,556.3970336914062,1847900
2024-08-20,557.4255933935208,561.2324705012221,553.2438432437716,558.1947021484375,1677500
2024-08-21,559.0213843888979,560.8286842024837,555.0991530195461,555.7144165039062,2844300
2024-08-22,556.8488260550691,560.4057487203687,548.5525669478725,556.3392944335938,2282000
2024-08-23,558.531127501041,562.5783363120426,556.0797547693359,561.9053955078125,2376400
2024-08-26,565.3084157747699,569.1922149916727,563.0877524172323,564.4240112304688,1800000
2024-08-27,566.6735682384124,569.4326315354846,561.2036722979946,564.6355590820312,1581900
2024-08-28,566.2313342680067,569.9132338131678,561.2900984582791,565.7794799804688,1657000
2024-08-29,567.8367265129301,569.6920809126026,561.770754408906,568.6923217773438,1953200
2024-08-30,567.1830890220797,570.3170253087056,563.9049888498804,567.3753662109375,2944700
2024-09-03,569.6055941929485,577.4307527728462,568.9326534382313,575.52734375,3175500
2024-09-04,576.7962957444197,584.4292357384277,574.758286860103,580.8146362304688,2935000
2024-09-05,580.8243131998078,582.5643131743448,566.8658227616878,572.4607543945312,2144800
2024-09-06,572.826047187947,577.3827288331312,569.3556699978096,573.7969970703125,2926400
2024-09-09,575.1812204006116,576.2963339865457,553.0226431398069,571.1243896484375,3411400
2024-09-10,572.1914931681707,581.4105866974937,568.2885077016094,575.86376953125,2863500
2024-09-11,566.3563534794292,568.5289624651745,556.5796130435757,566.9427490234375,3563600
2024-09-12,565.7699751644733,567.6733844127136,560.6557069676677,565.6641845703125,3395800
2024-09-13,568.2213077406548,574.5660439016943,564.5201627510843,571.3359985351562,2241900
2024-09-16,574.0179016355399,577.6742297607511,567.0332226402496,568.3645629882812,2548600
2024-09-17,565.3449088060717,566.0298336277949,556.0641539185973,557.5787963867188,3416000
2024-09-18,556.5176239143686,563.9075350349754,552.1280866615132,560.1740112304688,2988300
2024-09-19,563.135673963128,564.2065756822559,554.318031606628,556.72021484375,2945700
2024-09-20,551.5397098807601,558.4279406375534,549.5620124022727,554.7233276367188,5398700
2024-09-23,556.1606121642767,558.9969381808173,551.8289572185483,553.189208984375,2386100
2024-09-24,550.690723735331,556.9518522405433,546.0406881939593,554.9066162109375,3188500
2024-09-25,557.49204651057,560.6177820595661,552.8709817801491,555.987060546875,2658800
2024-09-26,554.7232191938424,556.2667732941255,550.7774229088774,554.5399169921875,2751900
2024-09-27,557.3086714717364,566.0202655975463,556.2571422324178,561.3316040039062,2986200
2024-09-30,562.9235081289563,565.7405210226354,558.3313549224547,564.0618896484375,3009700
2024-10-01,564.3705316441603,567.9400664413776,560.2897174116939,562.73046875,2648400
2024-10-02,582.9513977605893,583.2022385474241,563.6470205495298,571.4227905273438,3667000
2024-10-03,569.7828015879783,572.3104055822272,563.7628574525817,571.8473510742188,2645800
2024-10-04,571.2491261151438,575.1080700727512,567.6892479589385,570.3519287109375,2462600
2024-10-07,568.0268735491755,571.5481834112156,562.7594528104266,562.9813232421875,2591100
2024-10-08,567.3227607222282,568.4322308922663,559.122503118992,561.0712890625,2231400
2024-10-09,561.6306495148418,571.8954540591518,560.1353205828251,570.3711547851562,2207700
2024-10-10,574.1916488187358,577.8287229095419,571.8570038468025,576.622802734375,2143200
2024-10-11,575.4554022871919,580.308052926664,575.1756500279562,576.9603881835938,1909700
2024-10-14,577.9829812615534,587.1672869898434,576.3140067939261,584.0512084960938,2447100
2024-10-15,532.5535909117477,549.610116497135,523.851653261841,536.6729736328125,11939400
2024-10-16,537.3676376670213,555.8616112939627,535.5442723971328,551.1923217773438,5103900
2024-10-17,540.8116358817913,549.3880927834674,539.0171824611369,546.0694580078125,5588700
2024-10-18,546.8606343741782,550.8160877112821,543.1849921908951,549.5233154296875,3687000
2024-10-21,549.5522633939685,558.8523331449838,548.6454091421838,551.3176879882812,3018000
2024-10-22,547.8253364714055,552.8323188716724,545.5485735500841,549.7644653320312,2593800
2024-10-23,551.9543783987483,553.8935070605778,540.2521267288015,544.728515625,2911900
2024-10-24,545.0661585676223,551.5395580326693,540.551201357753,541.0335693359375,2590200
2024-10-25,546.1949824804334,551.3466993327712,543.7349171208671,544.6514282226562,2513700
2024-10-28,546.2817658385391,548.2884332271734,542.9630716077571,545.307373046875,1826500
2024-10-29,542.9727380854082,547.661341047372,540.8888752915482,542.3070678710938,2600300
2024-10-30,541.4581292133375,550.1986358124531,541.1687201635956,543.1078491210938,2323600
2024-10-31,541.1012266766218,548.4042865351054,541.1012266766218,544.5935668945312,2490000
2024-11-01,545.191634931169,550.2179309777472,544.0146852073021,547.5455932617188,2548300
2024-11-04,546.7544839356493,548.5392809068492,535.8336650957058,538.100830078125,2656600
2024-11-05,538.5928614582286,548.6839626913584,534.8496809347594,547.0343017578125,2608100
2024-11-06,582.6041448300812,584.1476990117499,570.0142918243996,575.6483764648438,6591300
2024-11-07,577.5778014515145,586.2122004767549,575.1273931955122,584.0994262695312,5254300
2024-11-08,587.5242055771034,597.9433422738298,583.8582206686195,594.0940551757812,3875800
2024-11-11,595.1456499900497,608.4879062062308,592.2706967275269,603.201171875,3003200
2024-11-12,597.7311494461629,602.4583205329171,592.1356924032639,592.9942626953125,2809400
2024-11-13,591.3832115692685,591.3928683512299,581.7937326674655,584.504638671875,3409400
2024-11-14,582.1988342996049,584.6299877446063,568.219819756466,572.233154296875,3079200
2024-11-15,571.0465152507238,577.809324015606,569.1460135990735,571.3455810546875,3423900
2024-11-18,568.6540126521547,573.1882838077811,564.6793048858136,568.8566284179688,2577100
2024-11-19,562.1709103532897,566.1456766807163,556.4307784974782,556.6526489257812,3198300
2024-11-20,562.161342171383,581.388523804804,561.0422154242401,579.323974609375,3928600
2024-11-21,578.8416630606799,582.7006074810845,575.6869571544971,576.420166015625,2722900
2024-11-22,577.4523298803861,580.0571286407694,567.9110775003649,570.0335083007812,3197900
2024-11-25,576.5071123560984,588.3347883581482,574.027733095,584.4661865234375,5146200
2024-11-26,586.7910298904453,587.0129003334928,577.7611148365429,585.3921508789062,2693600
2024-11-27,589.4827216539417,595.6763108678884,585.3053978948027,586.9261474609375,2269800
2024-11-29,587.3312917861116,594.0651894132648,585.2281742762173,588.6819458007812,2010800
2024-12-02,592.3479531377758,592.3479531377758,579.5845136414944,587.0612182617188,3364900
2024-12-03,589.3089575642272,594.0361874813939,583.4916301475398,583.8871459960938,2329900
2024-12-04,589.4730279600515,600.8665581203329,585.5657999318562,589.2510986328125,4147600
2024-12-05,584.2827764290424,587.5146187594361,553.6524057419427,558.55322265625,5943700
2024-12-06,561.5824202449493,561.5824202449493,524.9514251054093,530.2381591796875,13003600
2024-12-09,534.5768276307163,545.2102390916431,527.4491507817185,542.9247436523438,7684700
2024-12-10,544.2612106837603,549.8297195119304,539.4481105557431,547.3505249023438,5360600
2024-12-11,538.1213226731015,540.484309759727,515.8569801775415,516.6898803710938,10363000
2024-12-12,514.7529407245319,517.1449498545126,497.96023038998635,499.4806823730469,9403800
2024-12-13,499.36449827669105,510.87921984745134,494.59977876877963,504.05169677734375,8202900
2024-12-16,501.6499476456714,505.23317337915705,480.4218133051012,482.76544189453125,8880000
2024-12-17,471.62845620914123,479.95701391343334,460.801345970726,470.1951599121094,14132700
2024-12-18,473.0133069924551,490.55170271835874,470.66001401541695,483.94696044921875,10147600
2024-12-19,484.35371900322065,487.75291013494933,470.8924315197162,473.80743408203125,7418100
2024-12-20,473.8462390056262,486.77487043561433,473.30391700362765,484.3440856933594,10956900
2024-12-23,484.9541706805335,492.72101916113115,483.29812332966145,490.3580322265625,4286000
